question_id,question,gold_answers,best_passage_title,predicted_answer,em,f1
5adbd68155429947ff173842,"As former head of Orange County Ironworks, what has his hit TLC show called?",['American Chopper'],Paul Teutul Jr.,American Chopper.,1,1.0
5adbfffb5542994650320c39,The McKinley Tariff was framed by the representative who was later assassinated in what month?,['September 1901'],"United States elections, 1890",September,0,0.6666666666666666
5adc0f8d55429947ff1738ef,Between Parsifal and Saul og David which opera has more acts?,['Saul og David'],Saul og David,"Saul og David has 4 acts, Parsifal has 3 acts.",1,0.4615384615384615
5adc459255429944faac24ad,Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? ,['Russell Humphreys'],Kevin Henke,Russell Humphreys.,1,1.0
5adc8d4f554299473435373d,Edwyn Collins and Ian Gillan both have which profession in common?,['singer'],Ian Gillan,Singer.,1,1.0
5adc985e5542990d50227cb7,Where will the student which pass the exam  for which Le Rêve de Rico has to pass progress to? ,['secondary school study'],Certificate of Primary Education,Secondary school.,0,0.8
5adcc9f35542990d50227d20,Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,['Montejo v. Louisiana'],Montejo v. Louisiana,Montejo v. Louisiana.,1,1.0
5adcfebe5542992c1e3a24f3,How many members were in the South Korean boy group whose first official sub-unit is Bastarz?,['seven members'],Block B,Seven.,0,0.6666666666666666
5add26075542994ed6169c9c,What public radio network in New York has allowed Eric Plakun to dis his psychiatric work?,['WAMC'],WAMC,WAMC.,1,1.0
5add39c45542995b365faac5,Did the the Battle of Stones River occur before the Battle of Saipan?,['yes'],"Couchville, Tennessee","No, the Battle of Stones River occurred on December 31, 1862 - January 2, 1863, during the American Civil War. The Battle of Saipan occurred on June 15-19, 1944, during World War II.",0,0.0
5add3aaa5542992ae4cec500,"What was the name of the country ran by the president who maintained the mercenary unit, White Legion? ",['Zaire'],White Legion (Zaire),Zaire.,1,1.0
5add3ccc5542997545bbbce5,The Secret of Moonacre was directed by the founder of which animation studio?,['Klasky Csupo'],Gábor Csupó,Klasky Csupo.,1,1.0
5add47085542997545bbbd13,"What English-American actor known for his role in ""Raiders of the Lost Ark"" starred in The Lodger?","['Alfredo ""Alfred"" Molina']",Alfred Molina,Alfred Molina.,0,0.8
5add57e55542992ae4cec516,The scunthorpe telegraph and the Grimsby Telegraph used to service Scunthorpe which is in what country?,['England'],Scunthorpe Telegraph,England.,1,1.0
5add78bf5542992ae4cec57b,"In between Thomas Anders and Micky Dolenz, who was the a vocalist of the Monkees?",['George Michael Dolenz'],Micky Dolenz,"None, Micky Dolenz was a vocalist of the Monkees.",0,0.2
5add7c9c5542990dbb2f7e60,Ellie Parker is a 2005 American drama-comedy film whose title character is played by an English actress who made her screen debut in what Australian drama film?,['For Love Alone'],Naomi Watts,For Love Alone (1986),1,0.8571428571428571
5add98ef5542997545bbbd82,"WFMT FM radio transmits from the second tallest building in the United States, which is located where?","['Chicago, Illinois, United States']",Willis Tower,"The Willis Tower (formerly Sears Tower) in Chicago, Illinois.",0,0.3333333333333333
5addd82c5542990dbb2f7eb9,Do Ray Wilson and Leo have the same nationality ?,['no'],An Audience and Ray Wilson,"No, they do not.",1,0.4
5addda9b5542992200553b5b,"What was the island, on which Marinelli Glacier is located, formerly known as?",['Isla de Xativa'],Isla Grande de Tierra del Fuego,Isla de Xativa.,1,1.0
5adde16a5542997dc7907084,Which bay in the Irish Sea is located Wales's first offshore wind farm?,['Liverpool Bay'],North Hoyle Offshore Wind Farm,Liverpool Bay.,1,1.0
5adde6535542990dbb2f7ef9,"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?","[""Hail! Hail! Rock 'n' Roll""]",Hail! Hail! Rock 'n' Roll,Hail! Hail! Rock 'n' Roll.,1,1.0
5addfc425542997dc7907101," Force India VJM10 is a Formula One racing car previous driven by Nico Hülkenberg, and is now driven by which driver born 17 September 1996?",['Esteban Ocon'],Esteban Ocon,Esteban Ocon.,1,1.0
5addffa75542992200553bdc,"Which director was also a writer, Noel M. Smith or Reza Parsa?",['Noel Mason Smith'],Noel M. Smith,Noel M. Smith.,0,0.6666666666666666
5ade04a65542997545bbbe20,Don Holmes played for the football club that is based in what eastern suburb of Perth?,['Bassendean'],Swan Districts Football Club,Bassendean.,1,1.0
5ade0cc85542990dbb2f7f37,Is Ordos City more west than Yangzhong?,['yes'],Ordos City,No.,0,0.0
5ade279e5542992fa25da6fa,Kent Dairy Round Barn is near the city in what Montana county?,['Carbon'],"Red Lodge, Montana",Carbon County.,1,0.6666666666666666
