question_id,question,gold_answer,best_passage_title,best_passage_gain_PPL_CD,best_passage_is_supporting
5ab3e07e55429969a97a81e5,"In the 1962 German Grand Prix, a racer came second. What did this racer found?",Surtees Racing Organisation team,John Surtees,2.276,True
5ab3f6b9554299753aec5a03,How many films were directed by the director of Wise Blood?,37,John Huston,1.0,True
5ab40e1c5542996a3a969f00,"Lawerence Turman had produced a film, with a character named ""Johnny 5"" that had a follow up sequel released in what year?",1988,Short Circuit 2,1.033,False
5ab414295542996a3a969f1d,What career led Brandon James Routh to move to the city where Brian Ralston lives?,an acting career,Brian Ralston,370.026,True
5ab42d5755429942dd415eaf,"""Lost!"" is a song by a British rock band formed in what year?",1996,Coldplay,1.0,True
5ab430f655429942dd415eca,"""The Chance of a Lunchtime"" is an episode of a BBC sitcom writtem by who?",John Sullivan,Only Fools and Horses,1.0,True
5ab4341c55429942dd415ede,The Shōgitai were an elite corps of which shogunate?,Tokugawa shogunate,List of Hyakka Ryōran Samurai Girls episodes,1.429,False
5ab442645542991751b4d70c,What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,business district,Downtown Bentonville,265.611,True
5ab467975542991751b4d75f,"When was the duo formed who's English language song is the ""Freaky Like Me""?",1992,Madcon,1.701,True
5ab4da5b55429942dd415f96,Are Floor Jansen and John McCrea from the same band?,no,Floor Jansen,304065.981,True
5ab504865542991779162d52,What term is the current chairman of Prince William County serving?,fourth term,Corey Stewart (politician),29.492,True
5ab521575542996a3a96a02e,Is Xingcheng or Ulan Hot located in the Inner Mongolia region of China?,Ulanhot,Ulan Hot,1.04,True
5ab529965542990594ba9d1e,Which casino closed first The Atlantic Club Casino Hotel or Trump Plaza Hotel and Casino ? ,The Atlantic Club Casino Hotel,The Atlantic Club Casino Hotel,1.035,True
5ab5744e554299494045efdf,The third solo album by David Gates of Bread shares a name with a 1977 film directed by who?,Herbert Ross,The Goodbye Girl,1.0,True
5ab576c4554299637185c5a4,TMNT is a single-player action-adventure multi-platform action game based on a film which was the final film role for who?,Mako,TMNT (film),1.0,True
5ab59ffe5542997d4ad1f193,"Wind was directed by which American actress born on March 26, 1960?",Jennifer Grey,Jennifer Grey,1.936,True
5ab5dcb95542992aa134a3b3,Are Toshi and Warrel Dane both in the band Sanctuary?,no,Into the Mirror Live,222459.424,False
5ab5fddb554299110f2199af,Where was one of Sergei Prokofiev's most well-known operas first performed in 1921?,"Chicago, Illinois",The Love for Three Oranges,2.214,True
5ab67772554299110f219a12,What type of media does J. T. Petty and Outlast have in common?,video game,Outlast,21.636,True
5ab6ba045542995eadef007e,"Dorian Gray is the main character of what philosophical novel whose editor feared the story was indecent, and deleted roughly five hundred words before publication?",The Picture of Dorian Gray,Dorian Gray (character),1.006,False
5ab6cd0e554299710c8d1f68,What are a Uruguayan professional footballer and Luz Pfannenstiel are best known as?,the best known globetrotters,Cristian Jeandet,8.597,True
5ab6e6c7554299710c8d1fa4,"What team had Tony Roberts replaced by an American sportscaster from Buffalo, New York when he retired?",Notre Dame Fighting Irish football,Don Criqui,2.211,True
5ab6f0c25542995eadef00ea,Are Buried Country and South of the Border both films turned into stage performances?,no,Woody Guthrie Folk Festival,826537.031,False
5ab74eb85542993667793fb8,Which Croatian professional basketball player (a shooting guard) did New Jersey Nets acquire during their 1990–91 season?,Dražen Petrović,1990–91 New Jersey Nets season,1.0,True
5ab7ccf455429928e1fe3910,What was the 2010 population of the town where Lake George Avenue Historic District is located?,"5,042","Ticonderoga, New York",1.017,True
5ab7ef0f5542991d322237ca,Chandgi Ram won a gold medal in 1970 in a continental multi-sport event held at which city ?,Bangkok,1970 Asian Games,1.0,True
5ab7f7465542993667794071,What type of engine powered both the Saab 36 and the Avro Vulcan?,British Bristol Olympus turbojet,Saab 36,3.32,True
5ab8338155429919ba4e2260,"What is the name of a member of the North Melbourne Football Club, whose brother Rob has starred in Bridgetowns Cricket Clubs Premiership in 2016/7?",Mark Andrew Brayshaw,Mark Brayshaw,2.576,True
5ab84de95542990e739ec8b4,Yau Ma Tei North is a district of a city with how many citizens?,7.2 million,Hong Kong,1.847,True
5ab864945542990e739ec8e1,Substorm was described in qualitative terms by a scientist nominated for what seven times?,Nobel Prize,Kristian Birkeland,5.661,True
5ab865235542992aa3b8c8db, Lucas da Silva Carvalho was an unused reserve runner for a Brazilian athletics track event which at top class events is run in lanes for the first what?,500 metres,4 × 400 metres relay,7.117,True
5ab8829d55429934fafe6e08,The View from the Bottom is the fifth studio album by an American rock band best known for what hit song?,My Own Worst Enemy,Lit (band),8.639,True
5ab8f3235542991b5579f084,What number president was Annie Caputo nominated by to become a member of the Nuclear Regulatory Commission?,45th,David A. Wright,2.778,False
5ab91ef3554299753720f708,"Gene Sculatti write for CREEM sometime in the 60s or 70s, what famous term did CREEM coin for describing a genre of rock?","""punk rock",Punk (magazine),5.197,False
5ab93781554299131ca422c7,Which star in the Maltese Bippy died in 1987?,Dan Rowan,Dan Rowan,1.0,True
5ab9405c554299743d22ea7c,In what city did the 1959 William & Mary Indians football team lose against the #13 Naval Academy?,"Annapolis, Maryland",Navy–Marine Corps Memorial Stadium,1.248,True
5ab9788155429970cfb8eb1a,What year did the CEO of Tata Consultancy Services takeover as Chairman?,2017,Tata Sons,1.0,True
5ab981555542996be2020532,Is Bob Hewitt a citizen of a different country than Ray Ruffels?,yes,1978 Australian Open – Men's Doubles,92734.885,False
5ab9bb8355429970cfb8eb8b,"At what school is the individual who was awarded the 2012 Nobel Prize in Physics, jointly with David J. Wineland, a professor?",Collège de France,Serge Haroche,1.0,True
5aba510f5542994dbf0198d6,Yakuza Kiwami is a remake of the first video game in what video game series that is an open world action-adventure beat 'em up video game franchise?,Yakuza,Cartoon Network: Battle Crashers,1.001,False
5aba55f25542994dbf0198e0,"Which space mission did the man, in which the Onizuka Prop Wash Award is named after, perish?",STS-51-L,Ellison Onizuka,1.0,True
5aba7cfe554299232ef4a2fd,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,2007–08 Wigan Athletic F.C. season,1.029,False
5aba7e2c55429955dce3ee5a,Did Lewis Allen or Danny DeVito play Louie De Palma?,"Daniel Michael DeVito, Jr.",Danny DeVito,30.572,True
5aba943c554299232ef4a33e,Are Florida Atlantic University and Cleveland State University both colleges in the US?,yes,2010 Florida Atlantic Owls football team,111859.623,False
5abaa32655429955dce3eeaa,James Conlon directed the oldest outdoor Music Festival that is located and what state?,Illinois,Ravinia Festival,18.291,True
5abae4995542996606241666,Did both  Slaughter-House Cases and United States v. Darby Lumber Co. involve civil rights law?,no,Freedom of movement under United States law,344551.896,False
5abb03325542992ccd8e7eae,The magazine that nominated George Rainsford for their Best Actor award in 2017 comes out every week on what day of the week?,Tuesday,TV Choice,1.002,True
5abb11c15542992ccd8e7ef8,Selena Quintanilla-Pérez's assistant and head of her fan club will be eligible for parole on what date?,"March 30, 2025",Yolanda Saldívar,1.0,True
5abb8ebe5542993f40c73b2d,What British made dance competition television series franchise did Claudia Albertario appear on?,"""Dancing on Ice"" around the world",Claudia Albertario,1.9,True
5abb9ad4554299642a094abe,Which terrorist group was the cause of the battle in which Mark E. Michell won an award for his actions?,al-Qaeda,Battle of Qala-i-Jangi,1.333,True
5abbc58455429931dba14502,Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,The Grudge 2,1.0,True
5abbd3b4554299642a094b4f,What sort of dog did the same man who cared for the living gift that Martin Bormann gave Hitler have?,dachshund,Fritz Tornow,4.624,True
5abbf8be554299114383a0c1,"The 1996 film ""The Christmas Tree"" stars Andrew McCarthy and an actress that has won how any Emmy Awards?",three,Weekend at Bernie's,1546.501,False
5abc0a5d5542993f40c73c64,Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,Psycho Realm,236806.824,False
5abc219655429959677d6a1d,Which comic book was also written by the writer of Crossed?,"the Vertigo series ""Preacher""",Garth Ennis,59.636,True
5abc23c45542993a06baf896,"Which region of Austria means 'Estate of the Salt Chamber' and covers the village of Obertraun, a popular destination for skiing and snowboarding in the winter?",Salzkammergut,Obertraun,1.001,True
5abc36cc55429959677d6a50,Were both Life magazine and Strictly Slots magazine published monthly in 1998?,yes,Frank Legato,3584912846.132,False
5abc3d505542993a06baf8a7,"Which is founded by a president, University of Washington or University of Virginia?",University of Virginia,Jefferson Memorial,1.001,False
5abc6c2655429959677d6aac,In which county does the United States Navy air base located in which  Attack Squadron 174 (VA-174) was based on?,Duval County,Naval Air Station Cecil Field,1.015,True
5abc6d14554299700f9d78bf,What type of building does Jim Bartels and ʻIolani Palace have in common?,museum,Jim Bartels,4616.998,True
5abcffc2554299700f9d7951,"What is the name of the company in Independent Hill, Virginia that is also headquartered in Houston Texas?",Citgo,"Independent Hill, Virginia",1.001,True
