question_id,question,gold_answer,best_passage_title,best_passage_gain_PPL_CD,best_passage_is_supporting
5a8066d15542992097ad2fe8,What Nobel Laureate teaches at  Chapman University?,Vernon Smith,Journal of Behavioral Finance,1.0,True
5a806aca5542996402f6a503,Which characters are akin to goblins and were added to a Tilted Mill Entertainment video game in 2009?,Orc characters,Hinterland (video game),1.005,True
5a806e01554299485f5985e5,Who starred in the 1991 American action comedy film The Hard Way and was featured on the roster of Rawkus Records?,Mos Def,Mos Def,1.019,True
5a80707e5542992bc0c4a70e,"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won what award in 2011?",Critics' Choice Television Award for Best Supporting Actress in a Comedy Series,Busy Philipps,1.001,True
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,G-A-Y,4074.601,True
5a8080365542992097ad2fed,"A vehicle that uses hydrogen as its onboard fuel for motive power is cosidered which, Flex-fuel or Bi-fuel?",bi-fuel vehicles,Hydrogen highway (Japan),181.841,False
5a808f3f5542992097ad2ffd,"""The Empire Builder""'s Columbia River Subdivision was part of which line?",Great Northern Railway,James J. Hill,1.088,True
5a810221554299260e20a1f9,Who wrote the 1970 international hit song Murray Head is most recognized for?,Andrew Lloyd Webber and Tim Rice,Superstar (Jesus Christ Superstar song),1.0,True
5a81456855429938b614231e,"Between Valparaiso University and Old Dominion University, which institution has higher student enrollment?",Old Dominion University,Matt Quatraro,1.026,False
5a818387554299260e20a291,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Based on a True Story...,1.0,True
5a8198565542995ce29dcc13,Are Ranger Rick and Tennis both sports magazines?,no,Tennis (magazine),268337.287,True
5a819e2755429903bc27b988,Nguyễn Văn Trỗi tried to assassinate a future ambassador from which US state ?,Massachusetts,Henry Cabot Lodge Jr.,1.0,True
5a81ad9855429903bc27b9a3,When did the 2005 Ladbrokes.com World Darts Championship begin?,the day after Christmas Day,Boxing Day,79.372,True
5a81db0b5542990a1d231ee2,The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by which acclaimed director?,Martin Scorsese,Frank Vincent,1.0,True
5a81e4e8554299676cceb140,In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,Rick Stansbury,1.67,True
5a81e8ea5542995ce29dcc73,Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,Akosua Gyamama Busia,Akosua Busia,2.079,True
5a81f85d55429926c1cdadca,The pilot and author of Highest Duty: My Search for What Really Matters was hired by which news station in 2011?,CBS News,Chesley Sullenberger,1.0,True
5a8210f355429926c1cdae24,What award did the actor in Tales from the Crypt win?,BAFTA TV Award Best Actor,Peter Cushing,1.057,True
5a8220db5542995ce29dccc1,Which was secretary to President Richard Nixon: Rose Mary Woods or H. R. Haldeman?,Rose Mary Woods,Rose Mary Woods,1.0,True
5a82301155429926c1cdae4a,How much was Ammon Bundy's son ordered to pay in grazing fees?,over $1 million,Bundy standoff,9.95,True
5a823b355542990a1d231f6e,"Orson Scott Card first published his short story ""Killing Children"" in this American science-fiction magazine whose first issue was published when?",1930,Killing Children,1.752,True
5a8268215542995ce29dccfb,What other country does the league that Taylor Eric Kemp played in represents the sport's highest level besides the United States?,Canada,Taylor Kemp,1.001,True
5a828a7b55429954d2e2eb69,The retired American professional basketball player Walt Williams attended this institution in 1988 that is in which conference today?,Big Ten Conference,Maryland Terrapins men's basketball,1.191,True
5a8327fd5542990548d0b1a3,"Forest Hill, Texas is a suburb of which fifth-largest city in the state?",Fort Worth,"Forest Hill, Texas",1.0,True
5a83411655429966c78a6b5d,Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,Justin Spitzer,Superstore (TV series),1.0,True
5a836a2d554299334474600f,What ended the career of the German composer of Bunte Blatter?,hand injury,Robert Schumann,51.29,True
5a83880e554299123d8c214e,Suicide's 1977 released album features a song based on what brand's comic character?,Marvel,Ghost Rider (Suicide song),1.0,True
5a83a4bc554299123d8c217f,Bobby Arora is the trading director of a retail chain that was formed in what year?,1978,B &amp; M,1.008,True
5a83d0ed5542996488c2e4e7,Triangle Brewing Company was started by a founder who had experience as what non-commercial alcohol producer?,homebrewer,Triangle Brewing Company,5.938,True
5a843f305542996488c2e51d,"When will Flicker, created by a member of One Direction, be released?","October 20, 2017",Flicker (album),1.0,True
5a845b2d5542996488c2e520,Back Up n da Chevy was an album by the rap group from what city?,"Atlanta, Georgia",Boyz n da Hood,1.022,True
5a8481945542997175ce1ed3,Are Steve Perry and Leslie West both singers?,yes,For the Love of Strange Medicine,36315.503,False
5a84995d5542997b5ce3fee4,Cooperative Living Organization is located in a city that is the county seat of what county in Florida?,Alachua,"Gainesville, Florida",1.001,True
5a84af3e5542991dd0999d7c,"Which city in Missouri is the Route 66 State Park closest to travel from, St.Louis or Eureka?",Eureka,Route 66 State Park,1.0,True
5a84bb825542991dd0999dbe,Who beacme a star as a comic book character created by Gerry Conway and Bob Oksner?,Megalyn Echikunwoke,Arrowverse,2.012,True
5a84c4b05542991dd0999deb,Are both Forman Christian College and Purbanchal University public schools?,no,Purbanchal University,143630.599,True
5a84e61b5542997b5ce3ff86,"The Simpsons episode that aired on February 19, 2012 entitled ""At Long Last Leave"" represented what milestone for the show? ",show's 500th episode,The Simpsons (season 23),5.637,True
5a84e9d35542994c784dda84,The Nike Mercurial Vapor is endorsed by a Stoke City football player who also plays for what national team?,the Switzerland national team,Stoke City F.C.,156.342,False
5a8510a25542994c784ddaf0,What profession does Stephen Jay Gould and Ann Beattie have in common?,writer,Ann Beattie,5569.163,True
5a859a0c5542992a431d1b69,Do both Icehouse pieces and El Grande come from the same game?,no,Francisco Lemus Muñoz,143630.599,False
5a85b2ac5542991dd0999e90,Brad Budde played professionally for a team in the NFL that was founded in 1960 as the Dallas Texans by who?,Lamar Hunt,1960 NFL expansion draft,1.006,False
5a85c3225542992a431d1b95,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,middle order batsman,Marlon Samuels,3.062,True
5a86038455429960ec39b600,The winner of the the London Riders' Championship in 1953 scored how many points in the 1952 Individual Speedway World Championship?,14,1952 Individual Speedway World Championship,1.046,True
5a860d09554299211dda2a53, What was the address of the building on U.S. Route 3 that was the tallest building in New Hampshire when completed in 1972?,1000 Elm Street,Brady Sullivan Plaza,1.649,True
5a861c0d5542994775f606f7,"C. Bernard Jackson founded the center that started the career of which actor, who played the part of Marty Castillo in ""Miami Vice""?",Edward James Olmos,C. Bernard Jackson,1.0,True
5a86296a55429960ec39b631,What was the job of the character Jack Nicholson played in a 1992 French-American biographical crime film directed by Danny DeVito?,Teamsters leader,Hoffa,1.002,True
5a8708ba55429960ec39b701,Snoop Dogg's Doggystyle and Snoop Dogg's Hustlaz: Diary of a Pimp are hip-hop music videos that feature what film genre?,hardcore pornography,Snoop Dogg's Doggystyle,3.915,True
5a8752955542994775f607d1,"What was the name of the team that represented an Arizona university in the conference that covers a broad expanse of the western United States, including Arizona, California, and New Mexico?",Arizona State Sun Devils,1966 Arizona State Sun Devils football team,1.033,True
5a877dd65542993e715abf79,Were Halldór Laxness and Timothy Leary from the same country?,no,Halldór Laxness (album),52838.745,False
5a879dae5542996e4f308885,What was the company that was co-owned by the person who Abbe error was named after?,Carl Zeiss AG,Ernst Abbe,1.0,True
5a87ab9b5542996e4f3088c2,"In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?",nineteenth,Tecumseh,2.608,True
5a87bd4e5542996432c57279,Who does the minister at The First Church of Springfield help make teaching evolution illegal?,Ned Flanders,The Monkey Suit,1.02,True
5a87c19a5542994846c1cde6,"Which shore does the castle, which Sir James Montgomery, 4th Baronet is the tenth laird of, stand?",Firth of Clyde,"Sir James Montgomery, 4th Baronet",4.23,True
5a87d8355542993e715abfe4,"Which film was released first, Jawbreaker or Havenhurst?",Jawbreaker,Julie Benz,1.001,True
5a886c0c55429938390d3f51,Who owns the broadcasting platform where Games Done Quick is broadcast?,Amazon.com,Twitch.tv,1.001,True
5a88940055429938390d3f7b,What is the city in which Bauerfield International Ariport is based out of?,Port Vila,Air Vanuatu,1.0,True
5a88fc4255429938390d4019,On what date will the comedy film directed by Kevin Tent and starring the Bulgarian-Canadian actress known for portraying the role of Mia Jones be released on video on demand services?,"September 25, 2017",Crash Pad,1.0,True
5a8900c75542997e5c09a6ed,What ingredient is in both Cosmopolitan and Cuba Libre?,lime,Cosmopolitan (cocktail),471.656,True
5a89432b554299669944a519,What was the code name of the campaign where Joe Foss received a Medal of Honor?,Operation Watchtower,Guadalcanal Campaign,1.0,True
5a89d2d75542992e4fca83d2,What country of origin does Shawnee Trail and Great Indian Warpath have in common?,American,Shawnee Trail (West Virginia),59.964,True
