question_id,question,gold_answers,best_passage_title,predicted_answer,em,f1
5ab3e07e55429969a97a81e5,"In the 1962 German Grand Prix, a racer came second. What did this racer found?",['Surtees Racing Organisation team'],John Surtees,John Surtees.,0,0.3333333333333333
5ab3f6b9554299753aec5a03,How many films were directed by the director of Wise Blood?,['37'],John Huston,37,1,1.0
5ab40e1c5542996a3a969f00,"Lawerence Turman had produced a film, with a character named ""Johnny 5"" that had a follow up sequel released in what year?",['1988'],Short Circuit 2,1988.,1,1.0
5ab414295542996a3a969f1d,What career led Brandon James Routh to move to the city where Brian Ralston lives?,['an acting career'],Brian Ralston,Acting.,0,0.6666666666666666
5ab42d5755429942dd415eaf,"""Lost!"" is a song by a British rock band formed in what year?",['1996'],Coldplay,1996,1,1.0
5ab430f655429942dd415eca,"""The Chance of a Lunchtime"" is an episode of a BBC sitcom writtem by who?",['John Sullivan'],Only Fools and Horses,John Sullivan.,1,1.0
5ab4341c55429942dd415ede,The Shōgitai were an elite corps of which shogunate?,['Tokugawa shogunate'],List of Hyakka Ryōran Samurai Girls episodes,Tokugawa.,0,0.6666666666666666
5ab442645542991751b4d70c,What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,['business district'],Downtown Bentonville,Urban business district.,1,0.8
5ab467975542991751b4d75f,"When was the duo formed who's English language song is the ""Freaky Like Me""?",['1992'],Madcon,"Madcon was formed in 1992, and their English language song ""Freaky Like Me"" is one of their notable tracks.",1,0.1
5ab4da5b55429942dd415f96,Are Floor Jansen and John McCrea from the same band?,['no'],Floor Jansen,No.,1,1.0
5ab504865542991779162d52,What term is the current chairman of Prince William County serving?,['fourth term'],Corey Stewart (politician),Fourth.,0,0.6666666666666666
5ab521575542996a3a96a02e,Is Xingcheng or Ulan Hot located in the Inner Mongolia region of China?,['Ulanhot'],Ulan Hot,Ulanhot.,1,1.0
5ab529965542990594ba9d1e,Which casino closed first The Atlantic Club Casino Hotel or Trump Plaza Hotel and Casino ? ,['The Atlantic Club Casino Hotel'],The Atlantic Club Casino Hotel,The Atlantic Club Casino Hotel.,1,1.0
5ab5744e554299494045efdf,The third solo album by David Gates of Bread shares a name with a 1977 film directed by who?,['Herbert Ross'],The Goodbye Girl,Herbert Ross.,1,1.0
5ab576c4554299637185c5a4,TMNT is a single-player action-adventure multi-platform action game based on a film which was the final film role for who?,['Mako'],TMNT (film),Mako.,1,1.0
5ab59ffe5542997d4ad1f193,"Wind was directed by which American actress born on March 26, 1960?",['Jennifer Grey'],Jennifer Grey,Jennifer Grey.,1,1.0
5ab5dcb95542992aa134a3b3,Are Toshi and Warrel Dane both in the band Sanctuary?,['no'],Into the Mirror Live,"No, Warrel Dane is the vocalist of Sanctuary, but Toshi is not a member.",1,0.15384615384615385
5ab5fddb554299110f2199af,Where was one of Sergei Prokofiev's most well-known operas first performed in 1921?,"['Chicago, Illinois']",The Love for Three Oranges,"Chicago, Illinois.",1,1.0
5ab67772554299110f219a12,What type of media does J. T. Petty and Outlast have in common?,['video game'],Outlast,Video game.,1,1.0
5ab6ba045542995eadef007e,"Dorian Gray is the main character of what philosophical novel whose editor feared the story was indecent, and deleted roughly five hundred words before publication?",['The Picture of Dorian Gray'],Dorian Gray (character),The Picture of Dorian Gray.,1,1.0
5ab6cd0e554299710c8d1f68,What are a Uruguayan professional footballer and Luz Pfannenstiel are best known as?,['the best known globetrotters'],Cristian Jeandet,Globetrotters.,0,0.5
5ab6e6c7554299710c8d1fa4,"What team had Tony Roberts replaced by an American sportscaster from Buffalo, New York when he retired?",['Notre Dame Fighting Irish football'],Don Criqui,Notre Dame Fighting Irish.,0,0.888888888888889
5ab6f0c25542995eadef00ea,Are Buried Country and South of the Border both films turned into stage performances?,['no'],Woody Guthrie Folk Festival,No.,1,1.0
5ab74eb85542993667793fb8,Which Croatian professional basketball player (a shooting guard) did New Jersey Nets acquire during their 1990–91 season?,['Dražen Petrović'],1990–91 New Jersey Nets season,Dražen Petrović.,1,1.0
5ab7ccf455429928e1fe3910,What was the 2010 population of the town where Lake George Avenue Historic District is located?,"['5,042']","Ticonderoga, New York","5,042.",1,1.0
5ab7ef0f5542991d322237ca,Chandgi Ram won a gold medal in 1970 in a continental multi-sport event held at which city ?,['Bangkok'],1970 Asian Games,"Bangkok, Thailand.",1,0.6666666666666666
5ab7f7465542993667794071,What type of engine powered both the Saab 36 and the Avro Vulcan?,['British Bristol Olympus turbojet'],Saab 36,Bristol Olympus turbojet.,0,0.8571428571428571
5ab8338155429919ba4e2260,"What is the name of a member of the North Melbourne Football Club, whose brother Rob has starred in Bridgetowns Cricket Clubs Premiership in 2016/7?",['Mark Andrew Brayshaw'],Mark Brayshaw,Mark Brayshaw.,0,0.8
5ab84de95542990e739ec8b4,Yau Ma Tei North is a district of a city with how many citizens?,['7.2 million'],Hong Kong,No information about Yau Ma Tei North's population is provided in the passage.,0,0.0
