question_id,question,gold_answers,best_passage_title,predicted_answer,em,f1
5a713b325542994082a3e6b5,What was the capital of India when the Taj Mahal was commissioned?,['Agra'],Agra Fort,Agra.,1,1.0
5a7140585542994082a3e6fa,Seal Harris was born in what county?,['Polk County'],"Cedartown, Georgia",Polk County.,1,1.0
5a71674f5542994082a3e819,When was the magazine Sam Duckworth got his name Get Cape. Wear Cape. Fly from launched?,['January 2004'],Jason Perry (singer),Sam Duckworth got his name Get Cape. Wear Cape. Fly from the magazine NME.,0,0.0
5a716ec85542994082a3e82d,"Which movie was filmed first ""The Guest"" or ""You're Next""?","[""You're Next""]",You're Next,"""You're Next"" (2011)",1,0.8
5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",['Creature Comforts'],Creature Comforts,Creature Comforts.,1,1.0
5a722fae55429971e9dc9343,"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",['Chloë Alexandra Adele Emily Agnew'],Chloë Agnew,Chloë Agnew.,0,0.5714285714285715
5a728f015542991f9a20c4e4,Which star of Zork was also the voice of Pac-Man?,['Martin Ingerman'],Marty Ingels,Marty Ingels.,0,0.0
5a7299e75542991f9a20c524,"What movie was released at a later date, My Dog Tulip or Monsters vs. Aliens?",['Monsters vs. Aliens'],Buchanan Brothers,Monsters vs. Aliens.,1,1.0
5a72a0be5542992359bc3143,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",['Oedipus Rex'],Dostoevsky and Parricide,Oedipus Rex.,1,1.0
5a72a3c45542994cef4bc3ac,"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",['Araminta Ross'],Harriet Tubman,Araminta Ross.,1,1.0
5a72f7df5542991f9a20c5d7,"Piers Bizony has written articles for which magazine based in Bristol, UK?",['BBC Focus'],BBC Focus,BBC Focus.,1,1.0
5a7323ef5542994cef4bc477,Which battle took place first out of the Battle of the Ch'ongch'on River and the Battle of Tarawa?,['The Battle of Tarawa'],Battle of Tarawa,Battle of Tarawa.,1,1.0
5a733b835542991f9a20c6b2,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",['The Frog Prince'],The Well of the World's End,Shrek.,0,0.0
5a7344e95542991f9a20c6ce,What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,['Rudebox'],Rudebox (song),"""Rudebox"" by Robbie Williams.",1,0.4
5a7351785542994cef4bc539,Was Atom Egoyans biggest commercial success on stage or on film?,['erotic thriller film'],Chloe (film),On film.,0,0.4
5a73630655429901807db020,"Who was born first, Antonin Artaud or  Elizabeth Taylor?",['Antonin Artaud'],Theatre of Cruelty,Antonin Artaud.,1,1.0
5a73677455429901807db030,"Of the companies that sponsor the British League Riders Championship, which is owned and operated by Goodyear Tire and Rubber Company?",['Dunlop'],British League Riders' Championship,Dunlop.,1,1.0
