question_id,question,gold_answer,best_passage_title,best_passage_gain_PPL_CD,best_passage_is_supporting
5a713b325542994082a3e6b5,What was the capital of India when the Taj Mahal was commissioned?,Agra,Agra Fort,1.001,TRUE
5a7140585542994082a3e6fa,Seal Harris was born in what county?,Polk County,"Cedartown, Georgia",1.01,TRUE
5a71674f5542994082a3e819,When was the magazine Sam Duckworth got his name Get Cape. Wear Cape. Fly from launched?,Jan-04,Jason Perry (singer),78.807,FALSE
5a716ec85542994082a3e82d,"Which movie was filmed first ""The Guest"" or ""You're Next""?",You're Next,You're Next,1.83,TRUE
5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,Creature Comforts,1.043,TRUE
5a722fae55429971e9dc9343,"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",Chloë Alexandra Adele Emily Agnew,Chloë Agnew,1.975,TRUE
5a728f015542991f9a20c4e4,Which star of Zork was also the voice of Pac-Man?,Martin Ingerman,Marty Ingels,3.371,TRUE
5a7299e75542991f9a20c524,"What movie was released at a later date, My Dog Tulip or Monsters vs. Aliens?",Monsters vs. Aliens,Buchanan Brothers,1.001,FALSE
5a72a0be5542992359bc3143,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Oedipus Rex,Dostoevsky and Parricide,1.003,TRUE
5a72a3c45542994cef4bc3ac,"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",Araminta Ross,Harriet Tubman,1,TRUE
5a72f7df5542991f9a20c5d7,"Piers Bizony has written articles for which magazine based in Bristol, UK?",BBC Focus,BBC Focus,1.001,TRUE
5a7323ef5542994cef4bc477,Which battle took place first out of the Battle of the Ch'ongch'on River and the Battle of Tarawa?,The Battle of Tarawa,Battle of Tarawa,1.217,TRUE
5a733b835542991f9a20c6b2,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",The Frog Prince,The Well of the World's End,3.107,FALSE
5a7344e95542991f9a20c6ce,What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,Rudebox (song),1.928,TRUE
5a7351785542994cef4bc539,Was Atom Egoyans biggest commercial success on stage or on film?,erotic thriller film,Chloe (film),1473.746,TRUE
5a73630655429901807db020,"Who was born first, Antonin Artaud or  Elizabeth Taylor?",Antonin Artaud,Theatre of Cruelty,1,FALSE
5a73677455429901807db030,"Of the companies that sponsor the British League Riders Championship, which is owned and operated by Goodyear Tire and Rubber Company?",Dunlop,British League Riders' Championship,1,TRUE
5a736f7c5542991f29ee2e18,"Which legal, autonomous North American tribal government signed its constitution in Oklahoma on September 6, 1839?",The Cherokee Nation,Cherokee Nation (1794–1907),1.069,TRUE
5a737e4655429908901be2cc,This Fox News Specialist Host also took over what Fox Business Channel news program in 2013?,Cashin' In,Eric Bolling,1.708,TRUE
5a738093554299623ed4abbb,Alex Haley wrote what novel about a man that was born in 1750?,Roots: The Saga of an American Family,Roots: The Saga of an American Family,1.021,TRUE
5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Art Laboe,2.28,TRUE
5a73b8d655429908901be31f,"Which university is further North,  University of New Hampshire or Stony Brook University?",Stony Brook University,University of New Hampshire,1.056,TRUE
5a746a4455429974ef308bf6,Which tennis player is older out of John Peers and Simone Bolelli?,Simone Bolelli,2015 Trofeo Faip–Perrel – Singles,1.055,FALSE
5a74af7e55429916b01641d2,"Who was born first, Johan Leysen or George Clooney?",Johan Leysen,Johan Leysen,1.002,TRUE
5a74b4dc55429979e2882a00,Which former lead guitarist has a solo album named two disc compilation album?,Ted Nugent,Hunt Music,1,TRUE
5a74f3f55542993748c8974b,"What movie was the actor born on May 4, 1946 involved in in 1972?",Five Summer Stories,Five Summer Stories,1.015,TRUE
